client_id,round,offset,delay,elapsed,reference_time,time_source
1,1,1.2323142290115356,0.008794546127319336,0.04634749999968335,1774445473.67425,ntp:time.google.com
1,2,1.2367205619812012,0.0010457038879394531,1.076057999999648,1774445474.7122123,ntp:time.google.com
1,3,1.2367953062057495,0.001287698745727539,2.1092886999995244,1774445475.745381,ntp:time.google.com
1,4,1.2367198467254639,0.001239776611328125,3.144911699999284,1774445476.7809472,ntp:time.google.com
1,5,1.2366245985031128,0.0004737377166748047,4.1670000999993135,1774445477.803375,ntp:time.google.com
1,6,1.2366362810134888,0.0005276203155517578,5.183122899999944,1774445478.8194811,ntp:time.google.com
1,7,1.236670970916748,0.0010004043579101562,6.205004099999314,1774445479.841054,ntp:time.google.com
1,8,1.236695408821106,0.0006420612335205078,7.234159999999974,1774445480.8705006,ntp:time.google.com
1,9,1.2366489171981812,0.001005411148071289,8.243814599999496,1774445481.8798904,ntp:time.google.com
1,10,1.2364704608917236,0.0010814666748046875,9.265851600000133,1774445482.9017189,ntp:time.google.com
1,11,1.2366431951522827,0.0009090900421142578,10.30138850000003,1774445483.9375246,ntp:time.google.com
1,12,1.2364280223846436,0.0007338523864746094,11.33347429999958,1774445484.9694762,ntp:time.google.com
1,13,1.2368608713150024,0.001791238784790039,12.365670899999714,1774445486.0015702,ntp:time.google.com
1,14,1.2366408109664917,0.0006587505340576172,13.375422199999775,1774445487.0116928,ntp:time.google.com
1,15,1.2367068529129028,0.0006282329559326172,14.40313199999946,1774445488.0395067,ntp:time.google.com
1,16,1.2366950511932373,0.0004801750183105469,15.435632899999291,1774445489.0720718,ntp:time.google.com
1,17,1.2367749214172363,0.0010161399841308594,16.47054079999998,1774445490.1067615,ntp:time.google.com
1,18,1.236909031867981,0.0012576580047607422,17.50064089999978,1774445491.1368802,ntp:time.google.com
1,19,1.2368165254592896,0.0008056163787841797,18.529039600000033,1774445492.1654313,ntp:time.google.com
1,20,1.2367830276489258,0.0011878013610839844,19.562368399999286,1774445493.1985228,ntp:time.google.com
2,1,1.233188509941101,0.006949663162231445,0.023015500000838074,1774445473.6541648,ntp:time.google.com
2,2,1.2367982864379883,0.001132965087890625,1.0469534000003478,1774445474.6845956,ntp:time.google.com
2,3,1.2366814613342285,0.0009326934814453125,2.056183400000009,1774445475.693812,ntp:time.google.com
2,4,1.2366611957550049,0.0011286735534667969,3.078022100000453,1774445476.7155194,ntp:time.google.com
2,5,1.2367212772369385,0.0010075569152832031,4.090525000000525,1774445477.7281394,ntp:time.google.com
2,6,1.2366517782211304,0.0009233951568603516,5.101491900000838,1774445478.7390723,ntp:time.google.com
2,7,1.2366857528686523,0.0009503364562988281,6.1305552000003445,1774445479.7681653,ntp:time.google.com
2,8,1.2366400957107544,0.0009410381317138672,7.156374800000776,1774445480.7939477,ntp:time.google.com
2,9,1.2366074323654175,0.0009047985076904297,8.168881800000236,1774445481.8064418,ntp:time.google.com
2,10,1.2365951538085938,0.000888824462890625,9.203945200000817,1774445482.8414924,ntp:time.google.com
2,11,1.2365792989730835,0.00030159950256347656,10.231008800000382,1774445483.8688643,ntp:time.google.com
2,12,1.2367998361587524,0.0014011859893798828,11.267349200000353,1774445484.904853,ntp:time.google.com
2,13,1.2368988990783691,0.001445770263671875,12.298659100000805,1774445485.936236,ntp:time.google.com
2,14,1.2365624904632568,0.00041866302490234375,13.323503700000401,1774445486.9612944,ntp:time.google.com
2,15,1.2367234230041504,0.0009407997131347656,14.349884700000075,1774445487.9875374,ntp:time.google.com
2,16,1.2367929220199585,0.0009891986846923828,15.37334009999995,1774445489.0110486,ntp:time.google.com
2,17,1.2366639375686646,0.0008499622344970703,16.40636059999997,1774445490.044015,ntp:time.google.com
